device,variant,precision,label,auroc
legion,baseline,FP32,No Finding,0.8406
legion,baseline,FP32,Enlarged Cardiomediastinum,0.5641
legion,baseline,FP32,Cardiomegaly,0.7844
legion,baseline,FP32,Lung Opacity,0.8428
legion,baseline,FP32,Lung Lesion,0.0472
legion,baseline,FP32,Edema,0.8479
legion,baseline,FP32,Consolidation,0.8063
legion,baseline,FP32,Pneumonia,0.4812
legion,baseline,FP32,Atelectasis,0.6880
legion,baseline,FP32,Pneumothorax,0.6731
legion,baseline,FP32,Pleural Effusion,0.8507
legion,baseline,FP32,Pleural Other,0.4120
legion,baseline,FP32,Support Devices,0.7801
legion,baseline,FP32,MACRO (14),0.6630
legion,baseline,FP32,MACRO (5 competition),0.7954
legion,baseline,FP16,No Finding,0.8404
legion,baseline,FP16,Enlarged Cardiomediastinum,0.5623
legion,baseline,FP16,Cardiomegaly,0.7850
legion,baseline,FP16,Lung Opacity,0.8429
legion,baseline,FP16,Lung Lesion,0.0472
legion,baseline,FP16,Edema,0.8473
legion,baseline,FP16,Consolidation,0.8070
legion,baseline,FP16,Pneumonia,0.4845
legion,baseline,FP16,Atelectasis,0.6871
legion,baseline,FP16,Pneumothorax,0.6748
legion,baseline,FP16,Pleural Effusion,0.8490
legion,baseline,FP16,Pleural Other,0.4120
legion,baseline,FP16,Support Devices,0.7797
legion,baseline,FP16,MACRO (14),0.6630
legion,baseline,FP16,MACRO (5 competition),0.7951
legion,baseline,INT8,No Finding,0.7593
legion,baseline,INT8,Enlarged Cardiomediastinum,0.6025
legion,baseline,INT8,Cardiomegaly,0.6844
legion,baseline,INT8,Lung Opacity,0.7484
legion,baseline,INT8,Lung Lesion,0.0129
legion,baseline,INT8,Edema,0.8115
legion,baseline,INT8,Consolidation,0.6719
legion,baseline,INT8,Pneumonia,0.5514
legion,baseline,INT8,Atelectasis,0.6603
legion,baseline,INT8,Pneumothorax,0.6269
legion,baseline,INT8,Pleural Effusion,0.8093
legion,baseline,INT8,Pleural Other,0.0579
legion,baseline,INT8,Support Devices,0.7145
legion,baseline,INT8,MACRO (14),0.5932
legion,baseline,INT8,MACRO (5 competition),0.7275
legion,logitKD,FP32,No Finding,0.8793
legion,logitKD,FP32,Enlarged Cardiomediastinum,0.6159
legion,logitKD,FP32,Cardiomegaly,0.8104
legion,logitKD,FP32,Lung Opacity,0.8936
legion,logitKD,FP32,Lung Lesion,0.1073
legion,logitKD,FP32,Edema,0.8984
legion,logitKD,FP32,Consolidation,0.9252
legion,logitKD,FP32,Pneumonia,0.6388
legion,logitKD,FP32,Atelectasis,0.7700
legion,logitKD,FP32,Pneumothorax,0.7705
legion,logitKD,FP32,Pleural Effusion,0.9190
legion,logitKD,FP32,Pleural Other,0.9013
legion,logitKD,FP32,Support Devices,0.8494
legion,logitKD,FP32,MACRO (14),0.7676
legion,logitKD,FP32,MACRO (5 competition),0.8646
legion,logitKD,FP16,No Finding,0.8794
legion,logitKD,FP16,Enlarged Cardiomediastinum,0.6155
legion,logitKD,FP16,Cardiomegaly,0.8104
legion,logitKD,FP16,Lung Opacity,0.8934
legion,logitKD,FP16,Lung Lesion,0.1073
legion,logitKD,FP16,Edema,0.8984
legion,logitKD,FP16,Consolidation,0.9254
legion,logitKD,FP16,Pneumonia,0.6410
legion,logitKD,FP16,Atelectasis,0.7698
legion,logitKD,FP16,Pneumothorax,0.7688
legion,logitKD,FP16,Pleural Effusion,0.9191
legion,logitKD,FP16,Pleural Other,0.9013
legion,logitKD,FP16,Support Devices,0.8483
legion,logitKD,FP16,MACRO (14),0.7675
legion,logitKD,FP16,MACRO (5 competition),0.8646
legion,logitKD,INT8,No Finding,0.8831
legion,logitKD,INT8,Enlarged Cardiomediastinum,0.6808
legion,logitKD,INT8,Cardiomegaly,0.7520
legion,logitKD,INT8,Lung Opacity,0.8775
legion,logitKD,INT8,Lung Lesion,0.1717
legion,logitKD,INT8,Edema,0.8735
legion,logitKD,INT8,Consolidation,0.8619
legion,logitKD,INT8,Pneumonia,0.7207
legion,logitKD,INT8,Atelectasis,0.7781
legion,logitKD,INT8,Pneumothorax,0.6986
legion,logitKD,INT8,Pleural Effusion,0.8839
legion,logitKD,INT8,Pleural Other,0.8755
legion,logitKD,INT8,Support Devices,0.8288
legion,logitKD,INT8,MACRO (14),0.7605
legion,logitKD,INT8,MACRO (5 competition),0.8299
legion,featureKD,FP32,No Finding,0.8715
legion,featureKD,FP32,Enlarged Cardiomediastinum,0.6230
legion,featureKD,FP32,Cardiomegaly,0.8117
legion,featureKD,FP32,Lung Opacity,0.9009
