device,variant,precision,gpu_ms,gpu_p99_ms,e2e_ms,engine_load_s,ram_delta_mb,ram_peak_mb
Legion,baseline,fp32,0.966,0.967,0.972,0.183,0.0,460.0
Legion,baseline,fp16,0.545,0.554,0.551,2.658,0.0,380.0
Legion,baseline,int8,0.670,0.674,0.676,0.183,0.0,376.0
Legion,logitKD,fp32,0.936,0.943,0.942,0.179,0.0,460.0
Legion,logitKD,fp16,0.552,0.580,0.558,0.177,0.0,380.0
Legion,logitKD,int8,0.663,0.667,0.668,0.179,0.0,376.0
Legion,featureKD,fp32,0.965,0.973,0.972,0.180,0.0,448.0
Legion,featureKD,fp16,0.548,0.578,0.553,0.181,0.0,380.0
Legion,featureKD,int8,0.652,0.658,0.658,0.181,0.0,376.0
Legion,featureHardKD,fp32,0.978,0.984,0.985,0.183,0.0,460.0
Legion,featureHardKD,fp16,0.556,0.568,0.561,0.181,0.0,380.0
Legion,featureHardKD,int8,0.687,1.030,0.728,0.178,0.0,376.0
Jetson,baseline,fp32,2.958,2.968,3.021,0.303,0.0,1911.0
Jetson,baseline,fp16,2.120,2.146,2.180,0.050,0.0,1979.0
Jetson,baseline,int8,1.605,1.613,1.655,0.137,1.0,1886.0
Jetson,logitKD,fp32,2.953,2.963,3.017,0.292,0.0,1917.0
Jetson,logitKD,fp16,2.136,2.148,2.196,0.220,1.0,1976.0
Jetson,logitKD,int8,1.616,1.623,1.669,0.129,1.0,1889.0
Jetson,featureKD,fp32,2.951,2.961,3.016,0.296,0.0,1913.0
Jetson,featureKD,fp16,2.103,2.115,2.165,0.210,1.0,1981.0
Jetson,featureKD,int8,1.620,1.626,1.670,0.130,1.0,1886.0
Jetson,featureHardKD,fp32,2.950,2.959,3.013,0.301,0.0,1909.0
Jetson,featureHardKD,fp16,2.123,2.135,2.183,0.207,1.0,1982.0
Jetson,featureHardKD,int8,1.617,1.624,1.670,0.130,0.0,1891.0
