device,variant,precision,gpu_ms,gpu_p99_ms,e2e_ms,engine_load_s,ram_delta_mb,ram_peak_mb
Legion,baseline,fp32,0.966,0.967,0.972,0.183,0.0,460.0
Legion,baseline,fp16,0.545,0.554,0.551,2.658,0.0,380.0
Legion,baseline,int8,0.670,0.674,0.676,0.183,0.0,376.0
Legion,logitKD,fp32,0.936,0.943,0.942,0.179,0.0,460.0
Legion,logitKD,fp16,0.552,0.580,0.558,0.177,0.0,380.0
Legion,logitKD,int8,0.663,0.667,0.668,0.179,0.0,376.0
Legion,featureKD,fp32,0.965,0.973,0.972,0.180,0.0,448.0
Legion,featureKD,fp16,0.548,0.578,0.553,0.181,0.0,380.0
Legion,featureKD,int8,0.652,0.658,0.658,0.181,0.0,376.0
Legion,featureHardKD,fp32,0.978,0.984,0.985,0.183,0.0,460.0
Legion,featureHardKD,fp16,0.556,0.568,0.561,0.181,0.0,380.0
Legion,featureHardKD,int8,0.687,1.030,0.728,0.178,0.0,376.0
Jetson,baseline,fp32,--,--,3.021,--,--,--
Jetson,baseline,fp16,--,--,2.180,--,--,--
Jetson,baseline,int8,--,--,1.655,--,--,--
Jetson,logitKD,fp32,--,--,3.017,--,--,--
Jetson,logitKD,fp16,--,--,2.196,--,--,--
Jetson,logitKD,int8,--,--,1.669,--,--,--
Jetson,featureKD,fp32,--,--,3.016,--,--,--
Jetson,featureKD,fp16,--,--,2.165,--,--,--
Jetson,featureKD,int8,--,--,1.670,--,--,--
Jetson,featureHardKD,fp32,--,--,3.013,--,--,--
Jetson,featureHardKD,fp16,--,--,2.183,--,--,--
Jetson,featureHardKD,int8,--,--,1.670,--,--,--
