bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
0,0.0,0.1,24,0.08829198405146599,0.0,0.08829198405146599,jetson,fp32,baseline
1,0.1,0.2,437,0.16081891193542655,0.07322654462242563,0.08759236731300092,jetson,fp32,baseline
2,0.2,0.30000000000000004,485,0.2437412494236661,0.2865979381443299,0.04285668872066378,jetson,fp32,baseline
3,0.30000000000000004,0.4,161,0.342248842397832,0.484472049689441,0.14222320729160903,jetson,fp32,baseline
4,0.4,0.5,50,0.4399778586626053,0.64,0.2000221413373947,jetson,fp32,baseline
5,0.5,0.6000000000000001,12,0.5357209344704946,0.9166666666666666,0.380945732196172,jetson,fp32,baseline
6,0.6000000000000001,0.7000000000000001,1,0.624363124370575,1.0,0.37563687562942505,jetson,fp32,baseline
7,0.7000000000000001,0.8,0,,,,jetson,fp32,baseline
8,0.8,0.9,0,,,,jetson,fp32,baseline
9,0.9,1.0,0,,,,jetson,fp32,baseline
0,0.0,0.1,220,0.0555808780439706,0.022727272727272728,0.03285360531669787,jetson,fp32,logitKD
1,0.1,0.2,269,0.14594082055149468,0.05947955390334572,0.08646126664814896,jetson,fp32,logitKD
2,0.2,0.30000000000000004,181,0.2505556658651289,0.13259668508287292,0.11795898078225597,jetson,fp32,logitKD
3,0.30000000000000004,0.4,174,0.3451969029232003,0.2988505747126437,0.04634632821055662,jetson,fp32,logitKD
4,0.4,0.5,152,0.443109351553415,0.4605263157894737,0.017416964236058652,jetson,fp32,logitKD
5,0.5,0.6000000000000001,93,0.5392979684696403,0.6129032258064516,0.07360525733681134,jetson,fp32,logitKD
6,0.6000000000000001,0.7000000000000001,29,0.6451708900517431,0.7241379310344828,0.07896704098273966,jetson,fp32,logitKD
7,0.7000000000000001,0.8,30,0.7412292758623759,0.9,0.15877072413762416,jetson,fp32,logitKD
8,0.8,0.9,17,0.8387139439582825,0.9411764705882353,0.10246252662995281,jetson,fp32,logitKD
9,0.9,1.0,5,0.9195679903030396,1.0,0.0804320096969604,jetson,fp32,logitKD
0,0.0,0.1,247,0.0581157579810664,0.02834008097165992,0.02977567700940648,jetson,fp32,featureKD
1,0.1,0.2,250,0.14791434514522553,0.048,0.09991434514522553,jetson,fp32,featureKD
2,0.2,0.30000000000000004,177,0.249538314207799,0.1694915254237288,0.0800467887840702,jetson,fp32,featureKD
3,0.30000000000000004,0.4,186,0.3498343934294998,0.3010752688172043,0.04875912461229548,jetson,fp32,featureKD
4,0.4,0.5,155,0.44493853103729986,0.4967741935483871,0.05183566251108723,jetson,fp32,featureKD
5,0.5,0.6000000000000001,71,0.5432217490505165,0.5915492957746479,0.04832754672413142,jetson,fp32,featureKD
6,0.6000000000000001,0.7000000000000001,38,0.6464490874817497,0.6842105263157895,0.03776143883403982,jetson,fp32,featureKD
7,0.7000000000000001,0.8,23,0.7467090902121171,0.9130434782608695,0.16633438804875245,jetson,fp32,featureKD
8,0.8,0.9,20,0.8367477715015411,1.0,0.16325222849845888,jetson,fp32,featureKD
9,0.9,1.0,3,0.9100727637608846,0.6666666666666666,0.243406097094218,jetson,fp32,featureKD
0,0.0,0.1,87,0.07958573944352824,0.011494252873563218,0.06809148656996503,jetson,fp32,featureHardKD
1,0.1,0.2,513,0.15238194044163816,0.08382066276803118,0.06856127767360698,jetson,fp32,featureHardKD
2,0.2,0.30000000000000004,361,0.24337714076702616,0.32132963988919666,0.0779524991221705,jetson,fp32,featureHardKD
3,0.30000000000000004,0.4,137,0.33610380022195135,0.5328467153284672,0.19674291510651581,jetson,fp32,featureHardKD
4,0.4,0.5,51,0.4479643982999465,0.7843137254901961,0.33634932719024957,jetson,fp32,featureHardKD
5,0.5,0.6000000000000001,17,0.5364450672093559,0.9411764705882353,0.40473140337887936,jetson,fp32,featureHardKD
6,0.6000000000000001,0.7000000000000001,4,0.6193006187677383,1.0,0.38069938123226166,jetson,fp32,featureHardKD
7,0.7000000000000001,0.8,0,,,,jetson,fp32,featureHardKD
8,0.8,0.9,0,,,,jetson,fp32,featureHardKD
9,0.9,1.0,0,,,,jetson,fp32,featureHardKD
0,0.0,0.1,24,0.08837169750283162,0.0,0.08837169750283162,jetson,fp16,baseline
1,0.1,0.2,434,0.16048810955497525,0.07373271889400922,0.08675539066096603,jetson,fp16,baseline
2,0.2,0.30000000000000004,489,0.24352533323023703,0.28629856850715746,0.042773235276920424,jetson,fp16,baseline
3,0.30000000000000004,0.4,162,0.3429696298675773,0.48148148148148145,0.13851185161390417,jetson,fp16,baseline
4,0.4,0.5,48,0.44180850436290103,0.6458333333333334,0.20402482897043234,jetson,fp16,baseline
5,0.5,0.6000000000000001,12,0.535712311665217,0.9166666666666666,0.3809543550014496,jetson,fp16,baseline
6,0.6000000000000001,0.7000000000000001,1,0.6229182481765747,1.0,0.3770817518234253,jetson,fp16,baseline
7,0.7000000000000001,0.8,0,,,,jetson,fp16,baseline
8,0.8,0.9,0,,,,jetson,fp16,baseline
9,0.9,1.0,0,,,,jetson,fp16,baseline
0,0.0,0.1,220,0.05552609970327467,0.022727272727272728,0.03279882697600194,jetson,fp16,logitKD
1,0.1,0.2,270,0.14593672702709834,0.05925925925925926,0.08667746776783908,jetson,fp16,logitKD
2,0.2,0.30000000000000004,180,0.25046415999531746,0.13333333333333333,0.11713082666198413,jetson,fp16,logitKD
3,0.30000000000000004,0.4,175,0.345153227022716,0.29714285714285715,0.04801036987985885,jetson,fp16,logitKD
4,0.4,0.5,152,0.44341032108978223,0.46710526315789475,0.023694942068112512,jetson,fp16,logitKD
5,0.5,0.6000000000000001,92,0.5395050100658251,0.6086956521739131,0.06919064210808801,jetson,fp16,logitKD
6,0.6000000000000001,0.7000000000000001,29,0.6445934793044781,0.7241379310344828,0.07954445173000468,jetson,fp16,logitKD
7,0.7000000000000001,0.8,30,0.7410855670770009,0.9,0.15891443292299912,jetson,fp16,logitKD
8,0.8,0.9,17,0.8385037183761597,0.9411764705882353,0.10267275221207561,jetson,fp16,logitKD
9,0.9,1.0,5,0.9191923141479492,1.0,0.08080768585205078,jetson,fp16,logitKD
0,0.0,0.1,247,0.0583313330084176,0.02834008097165992,0.02999125203675768,jetson,fp16,featureKD
1,0.1,0.2,248,0.14782127999370137,0.04838709677419355,0.09943418321950782,jetson,fp16,featureKD
2,0.2,0.30000000000000004,175,0.24831349994455065,0.1657142857142857,0.08259921423026495,jetson,fp16,featureKD
3,0.30000000000000004,0.4,190,0.34876541620806645,0.3,0.04876541620806646,jetson,fp16,featureKD
4,0.4,0.5,155,0.4450730331482426,0.4967741935483871,0.0517011604001445,jetson,fp16,featureKD
5,0.5,0.6000000000000001,71,0.5437253025216116,0.5915492957746479,0.04782399325303632,jetson,fp16,featureKD
6,0.6000000000000001,0.7000000000000001,38,0.6471604720542306,0.6842105263157895,0.03705005426155894,jetson,fp16,featureKD
7,0.7000000000000001,0.8,24,0.7491061488787333,0.9166666666666666,0.16756051778793335,jetson,fp16,featureKD
