device,precision,variant,pathology,ece,brier,n_pos,n_neg
jetson,fp32,baseline,Cardiomegaly,0.12892883923700732,0.19276171756261148,68,166
jetson,fp32,baseline,Edema,0.13637714326763764,0.12922920209857364,45,189
jetson,fp32,baseline,Consolidation,0.08858020530424568,0.11204149148935737,33,201
jetson,fp32,baseline,Atelectasis,0.14109474086226562,0.22263648040839165,80,154
jetson,fp32,baseline,Pleural Effusion,0.1272008047781439,0.16021144056327227,67,167
jetson,fp32,logitKD,Cardiomegaly,0.05531990321146118,0.15291270115591984,68,166
jetson,fp32,logitKD,Edema,0.09632358800134282,0.10221704281018587,45,189
jetson,fp32,logitKD,Consolidation,0.12704661225852296,0.09991228550777836,33,201
jetson,fp32,logitKD,Atelectasis,0.06420707622240496,0.1854307087886896,80,154
jetson,fp32,logitKD,Pleural Effusion,0.07333472893278822,0.10557572067093919,67,167
jetson,fp32,featureKD,Cardiomegaly,0.05209880186897567,0.15388453000502625,68,166
jetson,fp32,featureKD,Edema,0.07769572169074199,0.10440677885034554,45,189
jetson,fp32,featureKD,Consolidation,0.11685856864747839,0.10370463454009507,33,201
jetson,fp32,featureKD,Atelectasis,0.0822852045361303,0.18339187511857832,80,154
jetson,fp32,featureKD,Pleural Effusion,0.07783917820033355,0.11200047634638921,67,167
jetson,fp32,featureHardKD,Cardiomegaly,0.11778732374883615,0.1908179525842746,68,166
jetson,fp32,featureHardKD,Edema,0.1384099618348683,0.11442784197518514,45,189
jetson,fp32,featureHardKD,Consolidation,0.1280428261902088,0.10591175584496974,33,201
jetson,fp32,featureHardKD,Atelectasis,0.1410732076017775,0.21438242588335038,80,154
jetson,fp32,featureHardKD,Pleural Effusion,0.13683175922841087,0.14013697869148417,67,167
jetson,fp16,baseline,Cardiomegaly,0.12891390642676598,0.19275180447119136,68,166
jetson,fp16,baseline,Edema,0.13631073512837416,0.12925053069077183,45,189
jetson,fp16,baseline,Consolidation,0.09207597066067223,0.11208473865178754,33,201
jetson,fp16,baseline,Atelectasis,0.1341930775879285,0.22259924324927707,80,154
jetson,fp16,baseline,Pleural Effusion,0.12304264513982667,0.16019998009501146,67,167
jetson,fp16,logitKD,Cardiomegaly,0.0587639491368308,0.15295714036144342,68,166
jetson,fp16,logitKD,Edema,0.0960337213324144,0.1021451920626287,45,189
jetson,fp16,logitKD,Consolidation,0.12689209325063944,0.09982911797163138,33,201
jetson,fp16,logitKD,Atelectasis,0.0643290485549941,0.18538398894425376,80,154
jetson,fp16,logitKD,Pleural Effusion,0.07350413878169706,0.1055590445812723,67,167
jetson,fp16,featureKD,Cardiomegaly,0.05200789485954575,0.15377493727170952,68,166
jetson,fp16,featureKD,Edema,0.07842489933141342,0.10461122737118696,45,189
jetson,fp16,featureKD,Consolidation,0.11683781134585541,0.1036756949576294,33,201
jetson,fp16,featureKD,Atelectasis,0.08231878963609535,0.18353775090173174,80,154
jetson,fp16,featureKD,Pleural Effusion,0.07632231557518881,0.11218835310357551,67,167
jetson,fp16,featureHardKD,Cardiomegaly,0.11829402436239599,0.19091019894943367,68,166
jetson,fp16,featureHardKD,Edema,0.1381439831521776,0.11434948372094872,45,189
jetson,fp16,featureHardKD,Consolidation,0.12810176171553442,0.10596846374861063,33,201
jetson,fp16,featureHardKD,Atelectasis,0.14108717237782276,0.21442370181728257,80,154
jetson,fp16,featureHardKD,Pleural Effusion,0.13694405304188403,0.14012870071325284,67,167
jetson,int8,baseline,Cardiomegaly,0.10817332196439434,0.19452665852220452,68,166
jetson,int8,baseline,Edema,0.12837519296086752,0.13656481945850527,45,189
jetson,int8,baseline,Consolidation,0.06334753923563875,0.1203388862478676,33,201
jetson,int8,baseline,Atelectasis,0.13115567780840093,0.2325279843239414,80,154
jetson,int8,baseline,Pleural Effusion,0.10617821313377121,0.17419537134248625,67,167
jetson,int8,logitKD,Cardiomegaly,0.09559335322397895,0.18830520522504435,68,166
jetson,int8,logitKD,Edema,0.09795027551774538,0.11213423723084659,45,189
jetson,int8,logitKD,Consolidation,0.17539000329680932,0.1294369425937802,33,201
jetson,int8,logitKD,Atelectasis,0.09804215175537473,0.1897113000011443,80,154
jetson,int8,logitKD,Pleural Effusion,0.13037498626444075,0.13329733919239084,67,167
jetson,int8,featureKD,Cardiomegaly,0.16439757114037493,0.18920759003994492,68,166
jetson,int8,featureKD,Edema,0.23740371619152206,0.17985818094787262,45,189
jetson,int8,featureKD,Consolidation,0.1928406152078229,0.14361695297224963,33,201
jetson,int8,featureKD,Atelectasis,0.14093348953841078,0.20919428132990514,80,154
jetson,int8,featureKD,Pleural Effusion,0.19492606576691324,0.18906976811698592,67,167
jetson,int8,featureHardKD,Cardiomegaly,0.09335631635199244,0.19477807729856833,68,166
jetson,int8,featureHardKD,Edema,0.09456253037429774,0.13279347720401696,45,189
jetson,int8,featureHardKD,Consolidation,0.0772055630118419,0.11294865250176168,33,201
jetson,int8,featureHardKD,Atelectasis,0.11504004036004725,0.21068167581234684,80,154
jetson,int8,featureHardKD,Pleural Effusion,0.13877520920374453,0.16722472845296235,67,167
legion,fp32,baseline,Cardiomegaly,0.13083604060941273,0.19295374756410083,68,166
legion,fp32,baseline,Edema,0.13642625074483392,0.1292083981677871,45,189
legion,fp32,baseline,Consolidation,0.09209808844149622,0.11205640157675736,33,201
legion,fp32,baseline,Atelectasis,0.14127973069110486,0.2225763315516662,80,154
legion,fp32,baseline,Pleural Effusion,0.12744391814638406,0.16024351312234397,67,167
legion,fp32,logitKD,Cardiomegaly,0.0553557622588725,0.1528915087072307,68,166
legion,fp32,logitKD,Edema,0.09629598957024771,0.10222907545816154,45,189
legion,fp32,logitKD,Consolidation,0.12499564344811644,0.09992381321174446,33,201
legion,fp32,logitKD,Atelectasis,0.06405205139492313,0.18529776983730925,80,154
legion,fp32,logitKD,Pleural Effusion,0.07343176480892125,0.10567952108129093,67,167
legion,fp32,featureKD,Cardiomegaly,0.05247617916514476,0.1538469765189761,68,166
legion,fp32,featureKD,Edema,0.07637598042368379,0.10415001525634614,45,189
legion,fp32,featureKD,Consolidation,0.12226792160644491,0.10378333651954257,33,201
legion,fp32,featureKD,Atelectasis,0.08249281050685124,0.18354315942987515,80,154
legion,fp32,featureKD,Pleural Effusion,0.07890423304504819,0.11203692447058733,67,167
legion,fp32,featureHardKD,Cardiomegaly,0.11852032508159804,0.19102237697601973,68,166
legion,fp32,featureHardKD,Edema,0.13806758359329313,0.11438066212402291,45,189
legion,fp32,featureHardKD,Consolidation,0.1279458484142764,0.10584614142084156,33,201
legion,fp32,featureHardKD,Atelectasis,0.14100778363963473,0.21429500101515497,80,154
legion,fp32,featureHardKD,Pleural Effusion,0.13648065485251257,0.14008441935481294,67,167
legion,fp16,baseline,Cardiomegaly,0.1289402078996357,0.19280320871766396,68,166
legion,fp16,baseline,Edema,0.13630770344255314,0.12922354832298508,45,189
legion,fp16,baseline,Consolidation,0.08695707947779927,0.11204878034831857,33,201
legion,fp16,baseline,Atelectasis,0.14106732212070724,0.22257051728826768,80,154
legion,fp16,baseline,Pleural Effusion,0.12702158902190688,0.16028113729201393,67,167
legion,fp16,logitKD,Cardiomegaly,0.05531834712267942,0.15296946586231305,68,166
legion,fp16,logitKD,Edema,0.09599763814869346,0.10207822131144348,45,189
legion,fp16,logitKD,Consolidation,0.1269410570494385,0.09981036583689853,33,201
legion,fp16,logitKD,Atelectasis,0.0642279056657074,0.18535668768459093,80,154
legion,fp16,logitKD,Pleural Effusion,0.07348746323209797,0.10555359496169556,67,167
legion,fp16,featureKD,Cardiomegaly,0.0521088942933159,0.15379101810742765,68,166
legion,fp16,featureKD,Edema,0.07815899973950134,0.10450897886820554,45,189
legion,fp16,featureKD,Consolidation,0.1220856683376508,0.1037648892228177,33,201
legion,fp16,featureKD,Atelectasis,0.08239818430449974,0.18362651414494796,80,154
legion,fp16,featureKD,Pleural Effusion,0.0735456344878508,0.11204757765551454,67,167
legion,fp16,featureHardKD,Cardiomegaly,0.11838630043989062,0.19098129382178586,68,166
legion,fp16,featureHardKD,Edema,0.13813998953749737,0.11439314628655176,45,189
legion,fp16,featureHardKD,Consolidation,0.12803881481671944,0.10591430899605035,33,201
legion,fp16,featureHardKD,Atelectasis,0.1411207236795344,0.21441989434476488,80,154
legion,fp16,featureHardKD,Pleural Effusion,0.13679227344373351,0.14014149782949592,67,167
legion,int8,baseline,Cardiomegaly,0.07211722404910968,0.1989814898263302,68,166
legion,int8,baseline,Edema,0.09629398501581617,0.13659648392126497,45,189
legion,int8,baseline,Consolidation,0.07320442674761142,0.11965904747753671,33,201
legion,int8,baseline,Atelectasis,0.12411689459003955,0.230951582686821,80,154
legion,int8,baseline,Pleural Effusion,0.12944236337247056,0.1735233390743045,67,167
legion,int8,logitKD,Cardiomegaly,0.10239653411902426,0.18911403234036595,68,166
legion,int8,logitKD,Edema,0.0982124215692409,0.11627565243173822,45,189
legion,int8,logitKD,Consolidation,0.16861523133821976,0.12872784286125716,33,201
legion,int8,logitKD,Atelectasis,0.09072820339192693,0.18848095512381569,80,154
legion,int8,logitKD,Pleural Effusion,0.11560352438758326,0.13553868363685517,67,167
legion,int8,featureKD,Cardiomegaly,0.14382160967613894,0.18596536064783897,68,166
legion,int8,featureKD,Edema,0.3028652433337819,0.22223865339029222,45,189
legion,int8,featureKD,Consolidation,0.22146834458550838,0.15813099552109144,33,201
legion,int8,featureKD,Atelectasis,0.12224459488931887,0.2124322472561881,80,154
legion,int8,featureKD,Pleural Effusion,0.24062087402766588,0.20957310355229355,67,167
legion,int8,featureHardKD,Cardiomegaly,0.12175609537551546,0.2060489759709366,68,166
legion,int8,featureHardKD,Edema,0.11904450015634552,0.13099509048403682,45,189
legion,int8,featureHardKD,Consolidation,0.11755635000319564,0.11084071682586237,33,201
legion,int8,featureHardKD,Atelectasis,0.12667690453111616,0.2260712371150905,80,154
legion,int8,featureHardKD,Pleural Effusion,0.15726437642533553,0.15960010529551713,67,167
