pathology,variant,auc,youden_threshold,youden_fpr,youden_tpr
Cardiomegaly,baseline,0.7861002834868888,0.2230384200811386,0.2530120481927711,0.75
Cardiomegaly,logitKD,0.8105953224663358,0.19042274355888367,0.37349397590361444,0.8823529411764706
Edema,baseline,0.8469723691945914,0.2735743820667267,0.2328042328042328,0.8222222222222222
Edema,logitKD,0.8980599647266314,0.38248735666275024,0.15873015873015872,0.8888888888888888
Consolidation,baseline,0.8072516206844564,0.18698418140411377,0.2786069651741293,0.8181818181818182
Consolidation,logitKD,0.9253731343283582,0.33133605122566223,0.1691542288557214,0.9393939393939394
Atelectasis,baseline,0.6862418831168831,0.24346251785755157,0.3571428571428571,0.6625
Atelectasis,logitKD,0.769521103896104,0.37125059962272644,0.35064935064935066,0.775
Pleural Effusion,baseline,0.8499419072303155,0.3399371802806854,0.23353293413173648,0.7910447761194029
Pleural Effusion,logitKD,0.9193851103762625,0.3411433696746826,0.17964071856287422,0.8507462686567164
