device,precision,variant,pathology,threshold,sensitivity,specificity,youden_j,tp,fp,tn,fn,ppv,npv,n_pos,n_neg
jetson,fp32,baseline,Cardiomegaly,0.22298525273799896,0.75,0.7530120481927711,0.5030120481927711,51,41,125,17,0.5543478260869565,0.8802816901408451,68,166
jetson,fp32,baseline,Edema,0.2759057879447937,0.8222222222222222,0.7724867724867724,0.5947089947089945,37,43,146,8,0.4625,0.948051948051948,45,189
jetson,fp32,baseline,Consolidation,0.1875753551721573,0.8181818181818182,0.7213930348258707,0.5395748530076889,27,56,145,6,0.3253012048192771,0.9602649006622517,33,201
jetson,fp32,baseline,Atelectasis,0.24356034398078918,0.6625,0.6493506493506493,0.31185064935064943,53,54,100,27,0.4953271028037383,0.7874015748031497,80,154
jetson,fp32,baseline,Pleural Effusion,0.3404092490673065,0.7910447761194029,0.7664670658682635,0.5575118419876666,53,39,128,14,0.5760869565217391,0.9014084507042254,67,167
jetson,fp32,logitKD,Cardiomegaly,0.19058434665203094,0.8823529411764706,0.6204819277108434,0.5028348688873141,60,63,103,8,0.4878048780487805,0.9279279279279279,68,166
jetson,fp32,logitKD,Edema,0.38427993655204773,0.8888888888888888,0.8412698412698413,0.7301587301587302,40,30,159,5,0.5714285714285714,0.9695121951219512,45,189
jetson,fp32,logitKD,Consolidation,0.33133649826049805,0.9393939393939394,0.8308457711442786,0.7702397105382182,31,34,167,2,0.47692307692307695,0.9881656804733728,33,201
jetson,fp32,logitKD,Atelectasis,0.37234121561050415,0.775,0.6558441558441559,0.4308441558441558,62,53,101,18,0.5391304347826087,0.8487394957983193,80,154
jetson,fp32,logitKD,Pleural Effusion,0.34035608172416687,0.8507462686567164,0.8203592814371258,0.6711055500938423,57,30,137,10,0.6551724137931034,0.9319727891156463,67,167
jetson,fp32,featureKD,Cardiomegaly,0.19504977762699127,0.8529411764705882,0.6445783132530121,0.4975194897236004,58,59,107,10,0.49572649572649574,0.9145299145299145,68,166
jetson,fp32,featureKD,Edema,0.3212389349937439,0.8888888888888888,0.7883597883597884,0.6772486772486772,40,40,149,5,0.5,0.9675324675324676,45,189
jetson,fp32,featureKD,Consolidation,0.30022260546684265,0.9696969696969697,0.7263681592039801,0.6960651289009498,32,55,146,1,0.367816091954023,0.9931972789115646,33,201
jetson,fp32,featureKD,Atelectasis,0.38246095180511475,0.7875,0.7077922077922078,0.49529220779220773,63,45,109,17,0.5833333333333334,0.8650793650793651,80,154
jetson,fp32,featureKD,Pleural Effusion,0.3900134861469269,0.7910447761194029,0.8682634730538922,0.6593082491732951,53,22,145,14,0.7066666666666667,0.9119496855345912,67,167
jetson,fp32,featureHardKD,Cardiomegaly,0.19450512528419495,0.6470588235294118,0.8012048192771084,0.4482636428065203,44,33,133,24,0.5714285714285714,0.8471337579617835,68,166
jetson,fp32,featureHardKD,Edema,0.2764755189418793,0.8666666666666667,0.8518518518518519,0.7185185185185186,39,28,161,6,0.582089552238806,0.9640718562874252,45,189
jetson,fp32,featureHardKD,Consolidation,0.19323094189167023,0.8787878787878788,0.7860696517412935,0.6648575305291722,29,43,158,4,0.4027777777777778,0.9753086419753086,33,201
jetson,fp32,featureHardKD,Atelectasis,0.2509259283542633,0.775,0.6623376623376623,0.43733766233766236,62,52,102,18,0.543859649122807,0.85,80,154
jetson,fp32,featureHardKD,Pleural Effusion,0.2636309564113617,0.8955223880597015,0.7844311377245509,0.6799535257842524,60,36,131,7,0.625,0.9492753623188406,67,167
jetson,fp16,baseline,Cardiomegaly,0.2230384200811386,0.75,0.7469879518072289,0.4969879518072289,51,42,124,17,0.5483870967741935,0.8794326241134752,68,166
jetson,fp16,baseline,Edema,0.2735743820667267,0.8222222222222222,0.7671957671957672,0.5894179894179894,37,44,145,8,0.4567901234567901,0.9477124183006536,45,189
jetson,fp16,baseline,Consolidation,0.18698418140411377,0.8181818181818182,0.7213930348258707,0.5395748530076889,27,56,145,6,0.3253012048192771,0.9602649006622517,33,201
jetson,fp16,baseline,Atelectasis,0.24346251785755157,0.6625,0.6428571428571429,0.3053571428571429,53,55,99,27,0.49074074074074076,0.7857142857142857,80,154
jetson,fp16,baseline,Pleural Effusion,0.3399371802806854,0.7910447761194029,0.7664670658682635,0.5575118419876666,53,39,128,14,0.5760869565217391,0.9014084507042254,67,167
jetson,fp16,logitKD,Cardiomegaly,0.19042274355888367,0.8823529411764706,0.6265060240963856,0.5088589652728561,60,62,104,8,0.4918032786885246,0.9285714285714286,68,166
jetson,fp16,logitKD,Edema,0.38248735666275024,0.8888888888888888,0.8412698412698413,0.7301587301587302,40,30,159,5,0.5714285714285714,0.9695121951219512,45,189
jetson,fp16,logitKD,Consolidation,0.33133605122566223,0.9393939393939394,0.8308457711442786,0.7702397105382182,31,34,167,2,0.47692307692307695,0.9881656804733728,33,201
jetson,fp16,logitKD,Atelectasis,0.37125059962272644,0.775,0.6493506493506493,0.42435064935064926,62,54,100,18,0.5344827586206896,0.847457627118644,80,154
jetson,fp16,logitKD,Pleural Effusion,0.3411433696746826,0.8507462686567164,0.8203592814371258,0.6711055500938423,57,30,137,10,0.6551724137931034,0.9319727891156463,67,167
