device,variant,precision,throughput_img_s,power_w,idle_w,energy_mj_per_img,ppw_img_s_w,gpu_ms,gpu_p99_ms,e2e_ms,ram_delta_mb,ram_peak_mb,engine_load_s
legion,baseline,fp32,1048.7,69.95,13.84,66.705,14.99,0.966,0.967,0.972,0.0,460.0,0.183
legion,baseline,fp16,1858.4,69.56,15.14,37.432,26.72,0.545,0.554,0.551,0.0,380.0,2.658
legion,baseline,int8,1504.4,70.00,13.53,46.529,21.49,0.670,0.674,0.676,0.0,376.0,0.183
legion,logitKD,fp32,1068.7,69.90,14.27,65.413,15.29,0.936,0.943,0.942,0.0,460.0,0.179
legion,logitKD,fp16,1820.8,69.43,14.36,38.133,26.22,0.552,0.580,0.558,0.0,380.0,0.177
legion,logitKD,int8,1521.5,69.95,14.16,45.979,21.75,0.663,0.667,0.668,0.0,376.0,0.179
legion,featureKD,fp32,1038.9,69.96,14.60,67.338,14.85,0.965,0.973,0.972,0.0,448.0,0.180
legion,featureKD,fp16,1830.4,69.47,14.58,37.956,26.35,0.548,0.578,0.553,0.0,380.0,0.181
legion,featureKD,int8,1547.8,69.95,13.91,45.196,22.13,0.652,0.658,0.658,0.0,376.0,0.181
legion,featureHardKD,fp32,1024.6,69.93,14.36,68.257,14.65,0.978,0.984,0.985,0.0,460.0,0.183
legion,featureHardKD,fp16,1827.0,69.52,14.12,38.049,26.28,0.556,0.568,0.561,0.0,380.0,0.181
legion,featureHardKD,int8,1548.7,69.96,14.01,45.175,22.14,0.687,1.030,0.728,0.0,376.0,0.178
jetson,baseline,fp32,337.7,14.52,--,42.997,23.26,--,--,3.021,--,--,--
jetson,baseline,fp16,470.7,11.00,--,23.365,42.80,--,--,2.180,--,--,--
jetson,baseline,int8,621.4,8.92,--,14.360,69.64,--,--,1.655,--,--,--
jetson,logitKD,fp32,338.3,14.22,--,42.033,23.79,--,--,3.017,--,--,--
jetson,logitKD,fp16,467.3,10.69,--,22.867,43.73,--,--,2.196,--,--,--
jetson,logitKD,int8,617.3,8.82,--,14.281,70.02,--,--,1.669,--,--,--
jetson,featureKD,fp32,338.5,14.19,--,41.918,23.86,--,--,3.016,--,--,--
jetson,featureKD,fp16,474.6,10.66,--,22.470,44.51,--,--,2.165,--,--,--
jetson,featureKD,int8,615.8,8.79,--,14.275,70.05,--,--,1.670,--,--,--
jetson,featureHardKD,fp32,338.6,14.18,--,41.881,23.88,--,--,3.013,--,--,--
jetson,featureHardKD,fp16,470.0,10.79,--,22.954,43.57,--,--,2.183,--,--,--
jetson,featureHardKD,int8,617.1,8.82,--,14.291,69.97,--,--,1.670,--,--,--
