device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
jetson,fp16,image,logitKD,logitKD-baseline,Cardiomegaly,0.7861002834868888,0.8105953224663359,0.02449503897944716,-0.03563364892246328,0.08450196865063594,0.4288,0.7856
jetson,fp16,image,logitKD,logitKD-baseline,Edema,0.8469723691945914,0.8980599647266314,0.05108759553204001,0.02144691372403903,0.0840775727172313,0.0,1.0
jetson,fp16,image,logitKD,logitKD-baseline,Consolidation,0.8072516206844566,0.9253731343283582,0.11812151364390167,0.04623327977778533,0.19748634852801528,0.0008,0.9996
jetson,fp16,image,logitKD,logitKD-baseline,Atelectasis,0.6862418831168832,0.7695211038961038,0.08327922077922068,0.024027398910211356,0.1445608615129163,0.005,0.9975
jetson,fp16,image,logitKD,logitKD-baseline,Pleural Effusion,0.8499419072303155,0.9193851103762624,0.06944320314594687,0.03880070546737213,0.10232121328061995,0.0,1.0
jetson,fp16,image,logitKD,logitKD-baseline,MACRO(5),0.7953016127426271,0.8645869271587383,0.06928531441611119,0.04600125664792117,0.0932539996867743,0.0,1.0
jetson,fp16,image,logitKD,logitKD-baseline,MACRO(14),0.662750210018358,0.767445684212463,0.10469547419410496,0.05130011224868308,0.13248999876804998,0.0,1.0
jetson,fp16,image,featureKD,featureKD-baseline,Cardiomegaly,0.7861002834868888,0.8118355776045358,0.02573529411764708,-0.0378528496479701,0.0889287891986063,0.4154,0.7923
jetson,fp16,image,featureKD,featureKD-baseline,Edema,0.8469723691945914,0.8943562610229276,0.047383891828336244,0.018616625506585573,0.07828670570999012,0.0004,0.9998
jetson,fp16,image,featureKD,featureKD-baseline,Consolidation,0.8072516206844566,0.8910749283883612,0.08382330770390467,0.013433998845226364,0.1634010270774976,0.0168,0.9916
jetson,fp16,image,featureKD,featureKD-baseline,Atelectasis,0.6862418831168832,0.7868100649350649,0.10056818181818172,0.03725576152826635,0.1658957003878879,0.0016,0.9992
jetson,fp16,image,featureKD,featureKD-baseline,Pleural Effusion,0.8499419072303155,0.9057109661274466,0.05576905889713113,0.023854666409692478,0.0891907891498055,0.0008,0.9996
jetson,fp16,image,featureKD,featureKD-baseline,MACRO(5),0.7953016127426271,0.8579575596156672,0.0626559468730401,0.03943205570015254,0.0871360685949624,0.0,1.0
jetson,fp16,image,featureKD,featureKD-baseline,MACRO(14),0.662750210018358,0.7651296524057771,0.10237944238741914,0.05000264916417941,0.12945579031489488,0.0,1.0
jetson,fp16,image,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.7861002834868888,0.786144578313253,4.429482636425508e-05,-0.06408895384380559,0.06470741739419798,0.9904,0.4946
jetson,fp16,image,featureHardKD,featureHardKD-baseline,Edema,0.8469723691945914,0.906114050558495,0.05914168136390363,0.025702413989244288,0.09492569838450814,0.0002,0.9999
jetson,fp16,image,featureHardKD,featureHardKD-baseline,Consolidation,0.8072516206844566,0.9087893864013267,0.10153776571687012,0.03635705505108486,0.17396194213611726,0.0016,0.9992
jetson,fp16,image,featureHardKD,featureHardKD-baseline,Atelectasis,0.6862418831168832,0.7634334415584415,0.07719155844155834,0.016682530871556536,0.14028702333990797,0.0118,0.9941
jetson,fp16,image,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8499419072303155,0.9056662793815354,0.05572437215121995,0.022885104325821297,0.09064398072164821,0.0006,0.9997
jetson,fp16,image,featureHardKD,featureHardKD-baseline,MACRO(5),0.7953016127426271,0.8540295472426104,0.05872793449998326,0.03478498820114444,0.08395438507217987,0.0,1.0
jetson,fp16,image,featureHardKD,featureHardKD-baseline,MACRO(14),0.662750210018358,0.7746477947794338,0.11189758476107581,0.05386822363955493,0.13396250942124097,0.0,1.0
