device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
jetson,fp16,patient,logitKD,logitKD-baseline,Cardiomegaly,0.7861002834868888,0.8105953224663359,0.02449503897944716,-0.03588310549945916,0.0839968576467716,0.4172,0.7914
jetson,fp16,patient,logitKD,logitKD-baseline,Edema,0.8469723691945914,0.8980599647266314,0.05108759553204001,0.020076927382815187,0.08519136200697433,0.0008,0.9996
jetson,fp16,patient,logitKD,logitKD-baseline,Consolidation,0.8072516206844566,0.9253731343283582,0.11812151364390167,0.045532541279021094,0.19965668072791476,0.0004,0.9998
jetson,fp16,patient,logitKD,logitKD-baseline,Atelectasis,0.6862418831168832,0.7695211038961038,0.08327922077922068,0.020743788223523317,0.1459592263178527,0.0096,0.9952
jetson,fp16,patient,logitKD,logitKD-baseline,Pleural Effusion,0.8499419072303155,0.9193851103762624,0.06944320314594687,0.037264951300124825,0.10439240154466932,0.0,1.0
jetson,fp16,patient,logitKD,logitKD-baseline,MACRO(5),0.7953016127426271,0.8645869271587383,0.06928531441611119,0.04504296882843573,0.09428015912107478,0.0,1.0
jetson,fp16,patient,logitKD,logitKD-baseline,MACRO(14),0.662750210018358,0.767445684212463,0.10469547419410496,0.05231092569588917,0.12692817063215917,0.0,1.0
jetson,fp16,patient,featureKD,featureKD-baseline,Cardiomegaly,0.7861002834868888,0.8118355776045358,0.02573529411764708,-0.03792677813526827,0.0881577051230569,0.4148,0.7926
jetson,fp16,patient,featureKD,featureKD-baseline,Edema,0.8469723691945914,0.8943562610229276,0.047383891828336244,0.017513703116381736,0.07922086214130651,0.002,0.999
jetson,fp16,patient,featureKD,featureKD-baseline,Consolidation,0.8072516206844566,0.8910749283883612,0.08382330770390467,0.012559805213257889,0.16404261686054755,0.0184,0.9908
jetson,fp16,patient,featureKD,featureKD-baseline,Atelectasis,0.6862418831168832,0.7868100649350649,0.10056818181818172,0.03411132521546772,0.16702058823529414,0.0044,0.9978
jetson,fp16,patient,featureKD,featureKD-baseline,Pleural Effusion,0.8499419072303155,0.9057109661274466,0.05576905889713113,0.02275147268094113,0.0901961147466766,0.0006,0.9997
jetson,fp16,patient,featureKD,featureKD-baseline,MACRO(5),0.7953016127426271,0.8579575596156672,0.0626559468730401,0.03795599289136599,0.08782780895538626,0.0,1.0
jetson,fp16,patient,featureKD,featureKD-baseline,MACRO(14),0.662750210018358,0.7651296524057771,0.10237944238741914,0.05098698280864773,0.12371354933138819,0.0,1.0
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.7861002834868888,0.786144578313253,4.429482636425508e-05,-0.06298459942810862,0.06428697272716986,0.992,0.504
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,Edema,0.8469723691945914,0.906114050558495,0.05914168136390363,0.024170785558553738,0.09543178021522639,0.0004,0.9998
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,Consolidation,0.8072516206844566,0.9087893864013267,0.10153776571687012,0.035389088934268884,0.17500412087912076,0.0024,0.9988
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,Atelectasis,0.6862418831168832,0.7634334415584415,0.07719155844155834,0.012384670938723226,0.14224282371141447,0.0202,0.9899
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8499419072303155,0.9056662793815354,0.05572437215121995,0.023284224195230428,0.09016582541783648,0.0004,0.9998
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,MACRO(5),0.7953016127426271,0.8540295472426104,0.05872793449998326,0.033287751738086235,0.0839901371060046,0.0,1.0
jetson,fp16,patient,featureHardKD,featureHardKD-baseline,MACRO(14),0.662750210018358,0.7746477947794338,0.11189758476107581,0.05569363510852906,0.12895871955129762,0.0,1.0
