device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
jetson,int8,image,logitKD,logitKD-baseline,Cardiomegaly,0.7237331679659815,0.7491141034727143,0.025380935506732816,-0.05037592902822568,0.10101012422014259,0.5174,0.7413
jetson,int8,image,logitKD,logitKD-baseline,Edema,0.8212815990593768,0.8912404467960023,0.06995884773662553,0.022819806699817678,0.12037252277636888,0.004,0.998
jetson,int8,image,logitKD,logitKD-baseline,Consolidation,0.6927483793155434,0.8563244384139906,0.1635760590984472,0.06980022853390393,0.26012562865799466,0.0008,0.9996
jetson,int8,image,logitKD,logitKD-baseline,Atelectasis,0.6528814935064935,0.7758928571428572,0.12301136363636367,0.05687965131350139,0.189515187446619,0.0002,0.9999
jetson,int8,image,logitKD,logitKD-baseline,Pleural Effusion,0.8024845830726607,0.8909643399767629,0.08847975690410226,0.04029346326374049,0.13858872549009438,0.0006,0.9997
jetson,int8,image,logitKD,logitKD-baseline,MACRO(5),0.7386258445840113,0.8327072371604654,0.09408139257645409,0.06138628903518977,0.1277706625557769,0.0,1.0
jetson,int8,image,logitKD,logitKD-baseline,MACRO(14),0.6186943315692301,0.7618815500622037,0.14318721849297356,0.07741805365371887,0.16732156609432208,0.0,1.0
jetson,int8,image,featureKD,featureKD-baseline,Cardiomegaly,0.7237331679659815,0.7685152374202693,0.044782069454287754,-0.038450150079290896,0.12751892959094044,0.2996,0.8502
jetson,int8,image,featureKD,featureKD-baseline,Edema,0.8212815990593768,0.8297472075249853,0.00846560846560851,-0.04832477399429292,0.06915976361255231,0.7902,0.6049
jetson,int8,image,featureKD,featureKD-baseline,Consolidation,0.6927483793155434,0.7874265038444143,0.09467812452887081,0.000917860734037262,0.18789025024195832,0.048,0.976
jetson,int8,image,featureKD,featureKD-baseline,Atelectasis,0.6528814935064935,0.7505681818181819,0.09768668831168836,0.023691202112033235,0.17029248087854848,0.0086,0.9957
jetson,int8,image,featureKD,featureKD-baseline,Pleural Effusion,0.8024845830726607,0.8294753776030029,0.026990794530342255,-0.041524693726628335,0.09738540063599677,0.4254,0.7873
jetson,int8,image,featureKD,featureKD-baseline,MACRO(5),0.7386258445840113,0.7931465016421707,0.05452065705815945,0.018530237747784353,0.09037498490981735,0.0036,0.9982
jetson,int8,image,featureKD,featureKD-baseline,MACRO(14),0.6186943315692301,0.7002023432551947,0.08150801168596455,0.005305489067204729,0.11119015420706574,0.0284,0.9858
jetson,int8,image,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.7237331679659815,0.7008327427356484,-0.022900425230333088,-0.10416821768910062,0.060238187586334854,0.5806,0.2894
jetson,int8,image,featureHardKD,featureHardKD-baseline,Edema,0.8212815990593768,0.8466784244562022,0.025396825396825418,-0.03774510051379551,0.09077366676548965,0.44,0.78
jetson,int8,image,featureHardKD,featureHardKD-baseline,Consolidation,0.6927483793155434,0.824212271973466,0.13146389265792258,0.034231200897867575,0.23078490231112375,0.0086,0.9957
jetson,int8,image,featureHardKD,featureHardKD-baseline,Atelectasis,0.6528814935064935,0.7353084415584416,0.08242694805194806,-0.00048453234033766466,0.16684442715248515,0.0508,0.9746
jetson,int8,image,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8024845830726607,0.871212798284029,0.0687282152113683,0.014979463965464264,0.12521326862331417,0.014,0.993
jetson,int8,image,featureHardKD,featureHardKD-baseline,MACRO(5),0.7386258445840113,0.7956489358015575,0.05702309121754623,0.018455478588547628,0.09600395713205374,0.004,0.998
jetson,int8,image,featureHardKD,featureHardKD-baseline,MACRO(14),0.6186943315692301,0.7318339261512589,0.11313959458202871,0.03542383715165559,0.13971093027667653,0.001,0.9995
