device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
jetson,int8,patient,logitKD,logitKD-baseline,Cardiomegaly,0.7237331679659815,0.7491141034727143,0.025380935506732816,-0.04745083083492079,0.10072460723419804,0.504,0.748
jetson,int8,patient,logitKD,logitKD-baseline,Edema,0.8212815990593768,0.8912404467960023,0.06995884773662553,0.023037501001405312,0.11801256225169268,0.0024,0.9988
jetson,int8,patient,logitKD,logitKD-baseline,Consolidation,0.6927483793155434,0.8563244384139906,0.1635760590984472,0.07278899240855763,0.2595911823431136,0.0002,0.9999
jetson,int8,patient,logitKD,logitKD-baseline,Atelectasis,0.6528814935064935,0.7758928571428572,0.12301136363636367,0.05354986809113239,0.19424765049765047,0.0008,0.9996
jetson,int8,patient,logitKD,logitKD-baseline,Pleural Effusion,0.8024845830726607,0.8909643399767629,0.08847975690410226,0.041015745562028576,0.1394422201278168,0.0004,0.9998
jetson,int8,patient,logitKD,logitKD-baseline,MACRO(5),0.7386258445840113,0.8327072371604654,0.09408139257645409,0.06182540292762655,0.12794147376985412,0.0,1.0
jetson,int8,patient,logitKD,logitKD-baseline,MACRO(14),0.6186943315692301,0.7618815500622037,0.14318721849297356,0.07696329267690614,0.16769399210102048,0.0,1.0
jetson,int8,patient,featureKD,featureKD-baseline,Cardiomegaly,0.7237331679659815,0.7685152374202693,0.044782069454287754,-0.04036541684688585,0.13146719299945106,0.29,0.855
jetson,int8,patient,featureKD,featureKD-baseline,Edema,0.8212815990593768,0.8297472075249853,0.00846560846560851,-0.04714306581014975,0.06651589758639727,0.7814,0.6093
jetson,int8,patient,featureKD,featureKD-baseline,Consolidation,0.6927483793155434,0.7874265038444143,0.09467812452887081,0.004822587521910061,0.18600389672587944,0.0406,0.9797
jetson,int8,patient,featureKD,featureKD-baseline,Atelectasis,0.6528814935064935,0.7505681818181819,0.09768668831168836,0.023091159734220375,0.17257453727553718,0.0098,0.9951
jetson,int8,patient,featureKD,featureKD-baseline,Pleural Effusion,0.8024845830726607,0.8294753776030029,0.026990794530342255,-0.04454788871060922,0.10110460741314065,0.4576,0.7712
jetson,int8,patient,featureKD,featureKD-baseline,MACRO(5),0.7386258445840113,0.7931465016421707,0.05452065705815945,0.01939816010927708,0.09134873998474881,0.003,0.9985
jetson,int8,patient,featureKD,featureKD-baseline,MACRO(14),0.6186943315692301,0.7002023432551947,0.08150801168596455,0.005989931337835145,0.11008090447048298,0.0266,0.9867
jetson,int8,patient,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.7237331679659815,0.7008327427356484,-0.022900425230333088,-0.10081494901821253,0.05990564246904666,0.5652,0.282
jetson,int8,patient,featureHardKD,featureHardKD-baseline,Edema,0.8212815990593768,0.8466784244562022,0.025396825396825418,-0.030082750675353518,0.08326640075957426,0.3804,0.8098
jetson,int8,patient,featureHardKD,featureHardKD-baseline,Consolidation,0.6927483793155434,0.824212271973466,0.13146389265792258,0.03484413824827406,0.2281314356060663,0.006,0.997
jetson,int8,patient,featureHardKD,featureHardKD-baseline,Atelectasis,0.6528814935064935,0.7353084415584416,0.08242694805194806,-0.0031895871217844708,0.17044836604254254,0.0564,0.9718
jetson,int8,patient,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8024845830726607,0.871212798284029,0.0687282152113683,0.013442148787016734,0.1275526870211503,0.017,0.9915
jetson,int8,patient,featureHardKD,featureHardKD-baseline,MACRO(5),0.7386258445840113,0.7956489358015575,0.05702309121754623,0.019728537038385247,0.09546583194345047,0.0044,0.9978
jetson,int8,patient,featureHardKD,featureHardKD-baseline,MACRO(14),0.6186943315692301,0.7318339261512589,0.11313959458202871,0.03952109492601066,0.14380590202515953,0.0004,0.9998
