device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
legion,int8,image,logitKD,logitKD-baseline,Cardiomegaly,0.6844436569808646,0.7519932671863926,0.06754961020552797,-0.008393718593338815,0.14312804942302032,0.0796,0.9602
legion,int8,image,logitKD,logitKD-baseline,Edema,0.811522633744856,0.8734861845972957,0.06196355085243965,0.009445368732596621,0.11932319628424133,0.0206,0.9897
legion,int8,image,logitKD,logitKD-baseline,Consolidation,0.6719433137343586,0.8619026081712649,0.1899592944369063,0.08117537510566358,0.3049981032968035,0.0006,0.9997
legion,int8,image,logitKD,logitKD-baseline,Atelectasis,0.660349025974026,0.778125,0.11777597402597395,0.04496203225898276,0.18977497252200287,0.0016,0.9992
legion,int8,image,logitKD,logitKD-baseline,Pleural Effusion,0.8092769684511574,0.8839038341227992,0.07462686567164178,0.02543547407876675,0.12717985590267528,0.0026,0.9987
legion,int8,image,logitKD,logitKD-baseline,MACRO(5),0.7275071197770526,0.8298821788155506,0.10237505903849797,0.06742594273847544,0.13854779991279256,0.0,1.0
legion,int8,image,logitKD,logitKD-baseline,MACRO(14),0.5931966920371269,0.7604715330885929,0.16727484105146606,0.09083284135944289,0.19105620427086312,0.0,1.0
legion,int8,image,featureKD,featureKD-baseline,Cardiomegaly,0.6844436569808646,0.7876948972360028,0.10325124025513821,0.018654434231469414,0.18806613884342357,0.0172,0.9914
legion,int8,image,featureKD,featureKD-baseline,Edema,0.811522633744856,0.7940035273368606,-0.017519106407995366,-0.09270473433578198,0.05791732679765028,0.6424,0.32
legion,int8,image,featureKD,featureKD-baseline,Consolidation,0.6719433137343586,0.7676767676767676,0.09573345394240906,-0.006866713918577221,0.1983067749669312,0.0672,0.9664
legion,int8,image,featureKD,featureKD-baseline,Atelectasis,0.660349025974026,0.7542613636363636,0.09391233766233764,0.017622858951984028,0.16817464061096127,0.0164,0.9918
legion,int8,image,featureKD,featureKD-baseline,Pleural Effusion,0.8092769684511574,0.8257216909464653,0.01644472249530793,-0.04808039186036458,0.0835336803940944,0.6234,0.6883
legion,int8,image,featureKD,featureKD-baseline,MACRO(5),0.7275071197770526,0.785871649366492,0.058364529589439385,0.020820917490802414,0.09673067936360079,0.003,0.9985
legion,int8,image,featureKD,featureKD-baseline,MACRO(14),0.5931966920371269,0.6984092824688435,0.1052125904317166,0.0110591048851139,0.1403319167443843,0.016,0.992
legion,int8,image,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.6844436569808646,0.6797927002126152,-0.004650956768249448,-0.08451839008440644,0.07579564517262181,0.9048,0.4519
legion,int8,image,featureHardKD,featureHardKD-baseline,Edema,0.811522633744856,0.8536155202821869,0.0420928865373309,-0.020476917419266546,0.10817192589027894,0.1858,0.9071
legion,int8,image,featureHardKD,featureHardKD-baseline,Consolidation,0.6719433137343586,0.843886627468717,0.17194331373435845,0.06698379890233608,0.28141138831246215,0.0014,0.9993
legion,int8,image,featureHardKD,featureHardKD-baseline,Atelectasis,0.660349025974026,0.6930194805194805,0.032670454545454475,-0.04884618451372296,0.11690893495955218,0.4488,0.7756
legion,int8,image,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8092769684511574,0.871480918759496,0.062203950308338585,0.012446460375513219,0.11400980480553813,0.0134,0.9933
legion,int8,image,featureHardKD,featureHardKD-baseline,MACRO(5),0.7275071197770526,0.7883590494484991,0.06085192967144648,0.02240051475637103,0.10083729115898712,0.0032,0.9984
legion,int8,image,featureHardKD,featureHardKD-baseline,MACRO(14),0.5931966920371269,0.708294129485807,0.11509743744868006,0.04438396224035357,0.14140605313911822,0.0002,0.9999
