device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
legion,int8,patient,logitKD,logitKD-baseline,Cardiomegaly,0.6844436569808646,0.7519932671863926,0.06754961020552797,-0.0059629998900451,0.14310894766736695,0.0708,0.9646
legion,int8,patient,logitKD,logitKD-baseline,Edema,0.811522633744856,0.8734861845972957,0.06196355085243965,0.011515707526250096,0.11602890307729744,0.015,0.9925
legion,int8,patient,logitKD,logitKD-baseline,Consolidation,0.6719433137343586,0.8619026081712649,0.1899592944369063,0.08033085305206572,0.3038338811841513,0.0008,0.9996
legion,int8,patient,logitKD,logitKD-baseline,Atelectasis,0.660349025974026,0.778125,0.11777597402597395,0.041825485357324936,0.1946093677542413,0.0022,0.9989
legion,int8,patient,logitKD,logitKD-baseline,Pleural Effusion,0.8092769684511574,0.8839038341227992,0.07462686567164178,0.028130944441341572,0.12475122506310127,0.0026,0.9987
legion,int8,patient,logitKD,logitKD-baseline,MACRO(5),0.7275071197770526,0.8298821788155506,0.10237505903849797,0.06736553568721185,0.13972402551554652,0.0,1.0
legion,int8,patient,logitKD,logitKD-baseline,MACRO(14),0.5931966920371269,0.7604715330885929,0.16727484105146606,0.08696981770301658,0.190122789469808,0.0,1.0
legion,int8,patient,featureKD,featureKD-baseline,Cardiomegaly,0.6844436569808646,0.7876948972360028,0.10325124025513821,0.017408863669537224,0.19012113889504936,0.0206,0.9897
legion,int8,patient,featureKD,featureKD-baseline,Edema,0.811522633744856,0.7940035273368606,-0.017519106407995366,-0.08846157568718546,0.05494810045960785,0.6192,0.309
legion,int8,patient,featureKD,featureKD-baseline,Consolidation,0.6719433137343586,0.7676767676767676,0.09573345394240906,-0.005009439523900124,0.19809568733153637,0.0608,0.9696
legion,int8,patient,featureKD,featureKD-baseline,Atelectasis,0.660349025974026,0.7542613636363636,0.09391233766233764,0.018499064739654594,0.171114797496674,0.015,0.9925
legion,int8,patient,featureKD,featureKD-baseline,Pleural Effusion,0.8092769684511574,0.8257216909464653,0.01644472249530793,-0.04773099839214161,0.08141362971975558,0.607,0.6965
legion,int8,patient,featureKD,featureKD-baseline,MACRO(5),0.7275071197770526,0.785871649366492,0.058364529589439385,0.020543561802458078,0.09780569539963435,0.0028,0.9986
legion,int8,patient,featureKD,featureKD-baseline,MACRO(14),0.5931966920371269,0.6984092824688435,0.1052125904317166,0.00969879117351011,0.14107439426364035,0.0216,0.9892
legion,int8,patient,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.6844436569808646,0.6797927002126152,-0.004650956768249448,-0.08215033446731344,0.07469936708860743,0.9,0.4492
legion,int8,patient,featureHardKD,featureHardKD-baseline,Edema,0.811522633744856,0.8536155202821869,0.0420928865373309,-0.016811542767729105,0.10299993392627319,0.1674,0.9163
legion,int8,patient,featureHardKD,featureHardKD-baseline,Consolidation,0.6719433137343586,0.843886627468717,0.17194331373435845,0.06508967005280575,0.28172656296756227,0.002,0.999
legion,int8,patient,featureHardKD,featureHardKD-baseline,Atelectasis,0.660349025974026,0.6930194805194805,0.032670454545454475,-0.05222238255571584,0.11709943881549484,0.4456,0.7772
legion,int8,patient,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8092769684511574,0.871480918759496,0.062203950308338585,0.010966262597894233,0.1143942023449696,0.0156,0.9922
legion,int8,patient,featureHardKD,featureHardKD-baseline,MACRO(5),0.7275071197770526,0.7883590494484991,0.06085192967144648,0.02257904225364619,0.10087416070097693,0.002,0.999
legion,int8,patient,featureHardKD,featureHardKD-baseline,MACRO(14),0.5931966920371269,0.708294129485807,0.11509743744868006,0.049764588446204704,0.13866950719747237,0.0002,0.9999
