device,precision,level,variant,pathology,auroc,ci_lo,ci_hi,n_pos,n_neg
jetson,fp16,patient,baseline,Cardiomegaly,0.7861002834868888,0.714280819235589,0.8505282021407651,68,166
jetson,fp16,patient,baseline,Edema,0.8469723691945914,0.775581274261723,0.9094853847987397,45,189
jetson,fp16,patient,baseline,Consolidation,0.8072516206844566,0.7237983810614353,0.8790373984187849,33,201
jetson,fp16,patient,baseline,Atelectasis,0.6862418831168832,0.611478868649446,0.7559749705102803,80,154
jetson,fp16,patient,baseline,Pleural Effusion,0.8499419072303155,0.7853807511255907,0.9060422078206952,67,167
jetson,fp16,patient,logitKD,Cardiomegaly,0.8105953224663359,0.7446450093782785,0.8706261062402443,68,166
jetson,fp16,patient,logitKD,Edema,0.8980599647266314,0.8380077071956867,0.9492544724687582,45,189
jetson,fp16,patient,logitKD,Consolidation,0.9253731343283582,0.8865173755317186,0.957003483499999,33,201
jetson,fp16,patient,logitKD,Atelectasis,0.7695211038961038,0.7023281093027929,0.8317536363204651,80,154
jetson,fp16,patient,logitKD,Pleural Effusion,0.9193851103762624,0.8777127535955903,0.9553171606497676,67,167
jetson,fp16,patient,featureKD,Cardiomegaly,0.8118355776045358,0.748233184506226,0.8697611791406132,68,166
jetson,fp16,patient,featureKD,Edema,0.8943562610229276,0.8358098003531146,0.9426553821208425,45,189
jetson,fp16,patient,featureKD,Consolidation,0.8910749283883612,0.8422920588044395,0.9320709931308949,33,201
jetson,fp16,patient,featureKD,Atelectasis,0.7868100649350649,0.7211146479399956,0.8481865392498463,80,154
jetson,fp16,patient,featureKD,Pleural Effusion,0.9057109661274466,0.8573078987571742,0.9472437689474524,67,167
jetson,fp16,patient,featureHardKD,Cardiomegaly,0.786144578313253,0.716150995272925,0.8502961983677548,68,166
jetson,fp16,patient,featureHardKD,Edema,0.906114050558495,0.8566380093803241,0.9482472487972942,45,189
jetson,fp16,patient,featureHardKD,Consolidation,0.9087893864013267,0.859742130538481,0.9485100308104071,33,201
jetson,fp16,patient,featureHardKD,Atelectasis,0.7634334415584415,0.694927428866607,0.8272348138104425,80,154
jetson,fp16,patient,featureHardKD,Pleural Effusion,0.9056662793815354,0.8587341696998768,0.9463356854381612,67,167
