device,precision,level,variant,pathology,auroc,ci_lo,ci_hi,n_pos,n_neg
legion,fp16,image,baseline,Cardiomegaly,0.785037207654146,0.7153450022915756,0.8493064946172765,68,166
legion,fp16,image,baseline,Edema,0.8473251028806584,0.7827563135018797,0.9041363625336323,45,189
legion,fp16,image,baseline,Consolidation,0.8070254786672697,0.7262376314371756,0.8774515870704718,33,201
legion,fp16,image,baseline,Atelectasis,0.6870941558441559,0.6162112839554152,0.7534263602937865,80,154
legion,fp16,image,baseline,Pleural Effusion,0.8490034855661811,0.7920351355190796,0.9005158163763236,67,167
legion,fp16,image,logitKD,Cardiomegaly,0.8104181431608788,0.7458762748469662,0.8682864851978979,68,166
legion,fp16,image,logitKD,Edema,0.8984126984126984,0.8429688004859934,0.9450912371416758,45,189
legion,fp16,image,logitKD,Consolidation,0.9253731343283582,0.887527393410569,0.9577316939407372,33,201
legion,fp16,image,logitKD,Atelectasis,0.7697646103896104,0.7086724696435117,0.8277068694196946,80,154
legion,fp16,image,logitKD,Pleural Effusion,0.9191169899007954,0.8815549910570953,0.9517679148836807,67,167
legion,fp16,image,featureKD,Cardiomegaly,0.8122342310418144,0.7501676571891943,0.8677210591960961,68,166
legion,fp16,image,featureKD,Edema,0.8946502057613168,0.8413861199716464,0.9388776097305135,45,189
legion,fp16,image,featureKD,Consolidation,0.8915272124227348,0.8442770702030812,0.9318305774604528,33,201
legion,fp16,image,featureKD,Atelectasis,0.7858766233766233,0.725715411514855,0.842357175977332,80,154
legion,fp16,image,featureKD,Pleural Effusion,0.9061578335865582,0.8637319713579341,0.943562934068853,67,167
legion,fp16,image,featureHardKD,Cardiomegaly,0.7861002834868888,0.7202883079000665,0.8475754005491829,68,166
legion,fp16,image,featureHardKD,Edema,0.9065255731922398,0.8605229020947773,0.9461806136866351,45,189
legion,fp16,image,featureHardKD,Consolidation,0.9096939544700738,0.8639036844350854,0.9488645920941968,33,201
legion,fp16,image,featureHardKD,Atelectasis,0.7633116883116883,0.7014686835600298,0.8252833335989291,80,154
legion,fp16,image,featureHardKD,Pleural Effusion,0.905800339619269,0.8615395647604986,0.9450174924746922,67,167
