device,precision,level,variant,pathology,auroc,ci_lo,ci_hi,n_pos,n_neg
legion,fp16,patient,baseline,Cardiomegaly,0.785037207654146,0.7132525147827667,0.8496083506249912,68,166
legion,fp16,patient,baseline,Edema,0.8473251028806584,0.7768450082609156,0.9094009783514375,45,189
legion,fp16,patient,baseline,Consolidation,0.8070254786672697,0.7227586597665168,0.8791179341105811,33,201
legion,fp16,patient,baseline,Atelectasis,0.6870941558441559,0.6131699659157933,0.7569690128302138,80,154
legion,fp16,patient,baseline,Pleural Effusion,0.8490034855661811,0.784519514050764,0.9051730022769651,67,167
legion,fp16,patient,logitKD,Cardiomegaly,0.8104181431608788,0.7444126746506986,0.8705681447547886,68,166
legion,fp16,patient,logitKD,Edema,0.8984126984126984,0.8384963056905906,0.9492607009049226,45,189
legion,fp16,patient,logitKD,Consolidation,0.9253731343283582,0.886262661915647,0.9570032719004968,33,201
legion,fp16,patient,logitKD,Atelectasis,0.7697646103896104,0.7027147609781838,0.831872438225482,80,154
legion,fp16,patient,logitKD,Pleural Effusion,0.9191169899007954,0.8773502968189881,0.9551239326375711,67,167
legion,fp16,patient,featureKD,Cardiomegaly,0.8122342310418144,0.7488887405132679,0.8701305291080107,68,166
legion,fp16,patient,featureKD,Edema,0.8946502057613168,0.8361701869071877,0.9428419203747073,45,189
legion,fp16,patient,featureKD,Consolidation,0.8915272124227348,0.8433710976412191,0.9323333729278851,33,201
legion,fp16,patient,featureKD,Atelectasis,0.7858766233766233,0.7197913804945055,0.8476700921877209,80,154
legion,fp16,patient,featureKD,Pleural Effusion,0.9061578335865582,0.8579465727850336,0.9476266689103985,67,167
legion,fp16,patient,featureHardKD,Cardiomegaly,0.7861002834868888,0.7163410115361667,0.8500511287037844,68,166
legion,fp16,patient,featureHardKD,Edema,0.9065255731922398,0.8573868497454382,0.9485755057921769,45,189
legion,fp16,patient,featureHardKD,Consolidation,0.9096939544700738,0.860965362994751,0.9493813314867985,33,201
legion,fp16,patient,featureHardKD,Atelectasis,0.7633116883116883,0.6948956312963299,0.827171399414196,80,154
legion,fp16,patient,featureHardKD,Pleural Effusion,0.905800339619269,0.8588958418956759,0.9463925659682652,67,167
